,election_date,party,cd,turnout_rate
0,2018-11-06,REP,0,0.013934567437198522
1,2016-11-08,REP,0,0.20050959943114482
2,2014-11-04,REP,0,0.2643305213065109
3,2012-11-06,REP,0,0.6574595878804603
4,2010-11-02,REP,0,0.6746362728090625
5,2018-11-06,DEM,0,0.01202483593003285
6,2016-11-08,DEM,0,0.17150733924446762
7,2014-11-04,DEM,0,0.2272213919253411
8,2012-11-06,DEM,0,0.6410070815485418
9,2010-11-02,DEM,0,0.5887950308175034
10,2018-11-06,REP,1,0.5573912923556426
11,2016-11-08,REP,1,0.799174582171605
12,2014-11-04,REP,1,0.5602987421383647
13,2012-11-06,REP,1,0.8872312703583062
14,2010-11-02,REP,1,0.6191072706820738
15,2018-11-06,DEM,1,0.5885946834138666
16,2016-11-08,DEM,1,0.7934476718446228
17,2014-11-04,DEM,1,0.5925249497415278
18,2012-11-06,DEM,1,0.9016774542052108
19,2010-11-02,DEM,1,0.6246967036588762
20,2018-11-06,REP,2,0.6501871097308034
21,2016-11-08,REP,2,0.853304777716744
22,2014-11-04,REP,2,0.6386099473151412
23,2012-11-06,REP,2,0.911342304647744
24,2010-11-02,REP,2,0.6728236338747271
25,2018-11-06,DEM,2,0.6435444146461606
26,2016-11-08,DEM,2,0.8136137332708945
27,2014-11-04,DEM,2,0.6123928423409994
28,2012-11-06,DEM,2,0.8944898874989174
29,2010-11-02,DEM,2,0.6177704113402439
30,2018-11-06,REP,3,0.5857658206122938
31,2016-11-08,REP,3,0.8241308640497846
32,2014-11-04,REP,3,0.624194201937599
33,2012-11-06,REP,3,0.890571414033481
34,2010-11-02,REP,3,0.6457882603298457
35,2018-11-06,DEM,3,0.5840284065006196
36,2016-11-08,DEM,3,0.789128337542207
37,2014-11-04,DEM,3,0.5980867877443504
38,2012-11-06,DEM,3,0.8857187565199249
39,2010-11-02,DEM,3,0.5979609797581259
40,2018-11-06,REP,4,0.6195761169037257
41,2016-11-08,REP,4,0.8373914468294281
42,2014-11-04,REP,4,0.6360826246733088
43,2012-11-06,REP,4,0.917850193139903
