Candidate,Election Status,Status of Candidate,Specific Party,General Party,Election Jurisdiction,Election Year,Election Type,Office Sought,Incumbency Status,# of Records,Total $
"BUTTERFIELD JR, GEORGE KENNETH (GK)",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 001,INCUMBENT,724.00,824065.00
"CARTER, JOHN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 001,OPEN,0.00,0.00
"GRIMES, JERRY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 001,OPEN,72.00,11838.00
"LARKINS, CHAD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 001,CHALLENGER,3.00,450.00
"MILLER, JIM",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 001,OPEN,0.00,0.00
"WOOLARD, ASHLEY MCMULLAN",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 001,CHALLENGER,184.00,132949.00
"DEATRICH, FRANK",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 002,OPEN,0.00,0.00
"ELLMERS, RENEE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 002,CHALLENGER,884.00,716510.00
"ETHERIDGE, BOB R",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 002,INCUMBENT,1094.00,1147768.00
"GAILAS, TODD",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 002,OPEN,4.00,2141.00
"ROSE, TOM",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,NC,2010,STANDARD,US HOUSE DISTRICT NC 002,CHALLENGER,0.00,0.00
"CAVANAUGH, BOB",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 003,CHALLENGER,0.00,0.00
