date,label,value,low,high
2009-01-18,Approve,55.9701,,
2009-01-22,Approve,55.8394,,
2009-02-15,Approve,55.0659,,
2009-02-19,Approve,54.9388,,
2009-02-26,Approve,54.7175,,
2009-03-15,Approve,54.1868,,
2009-03-19,Approve,54.0634,,
2009-04-11,Approve,53.3638,,
2009-04-23,Approve,53.0058,,
2009-05-10,Approve,52.5063,,
2009-05-21,Approve,52.1878,,
2009-05-21,Approve,52.1878,,
2009-06-14,Approve,51.5045,,
2009-06-22,Approve,51.28,,
2009-07-12,Approve,50.7256,,
2009-08-10,Approve,49.9378,,
2009-09-03,Approve,49.2993,,
2009-09-08,Approve,49.1678,,
2009-09-30,Approve,48.5964,,
2009-10-04,Approve,48.494,,
2009-10-21,Approve,48.068,,
2009-10-29,Approve,47.8759,,
2009-11-11,Approve,47.6206,,
2009-12-13,Approve,47.2063,,
2010-01-18,Approve,46.8272,,
2010-02-15,Approve,46.5001,,
2010-02-25,Approve,46.3905,,
2010-03-15,Approve,46.217,,
2010-04-22,Approve,45.9614,,
2010-05-10,Approve,45.8868,,
2010-06-06,Approve,45.8603,,
2010-07-31,Approve,45.8803,,
2010-08-29,Approve,45.962,,
2010-09-17,Approve,46.0037,,
2010-09-30,Approve,46.075,,
2010-10-31,Approve,46.1177,,
2010-11-21,Approve,46.0779,,
2010-12-19,Approve,46.1356,,
2011-01-23,Approve,46.2758,,
2011-02-03,Approve,46.3028,,
2011-02-21,Approve,46.3659,,
2011-02-24,Approve,46.3853,,
2011-03-15,Approve,46.3847,,
2011-03-20,Approve,46.4126,,
2011-03-31,Approve,46.4054,,
2011-04-14,Approve,46.3757,,
2011-04-17,Approve,46.3862,,
2011-05-11,Approve,46.3822,,
2011-05-15,Approve,46.3863,,
2011-06-11,Approve,46.3308,,
2011-07-11,Approve,46.2164,,
2011-08-07,Approve,46.2267,,
2011-08-16,Approve,46.1814,,
2011-09-08,Approve,46.135,,
2011-09-22,Approve,46.0418,,
2011-10-03,Approve,46.0521,,
2011-10-06,Approve,46.029,,
2011-10-31,Approve,45.9922,,
2011-11-17,Approve,45.9209,,
2011-12-04,Approve,45.9237,,
2012-01-08,Approve,45.9508,,
2012-02-05,Approve,46.1732,,
2012-03-11,Approve,46.7032,,
2012-03-29,Approve,46.9223,,
2012-04-07,Approve,47.0294,,
2012-04-10,Approve,47.0609,,
2012-05-13,Approve,47.146,,
2012-06-10,Approve,47.1063,,
2012-06-25,Approve,47.0903,,
2012-06-25,Approve,47.0903,,
2012-07-08,Approve,47.0399,,
2012-08-01,Approve,46.9763,,
2012-08-05,Approve,46.9678,,
2012-08-30,Approve,46.9338,,
2012-09-02,Approve,46.9358,,
2012-09-09,Approve,46.9388,,
2012-09-13,Approve,46.9472,,
2012-09-18,Approve,46.9593,,
2012-09-19,Approve,46.9605,,
2012-09-25,Approve,46.9669,,
2012-09-30,Approve,46.9669,,
2012-10-09,Approve,46.9836,,
2012-10-10,Approve,46.985,,
2012-10-14,Approve,46.989,,
2012-10-17,Approve,46.9871,,
2012-10-24,Approve,46.9709,,
2012-10-25,Approve,46.9681,,
2012-10-25,Approve,46.9681,,
2012-10-30,Approve,46.9615,,
2012-10-31,Approve,46.9597,,
2012-11-04,Approve,46.95,,
2012-11-04,Approve,46.95,,
2013-01-13,Approve,46.4356,,
2013-01-31,Approve,46.2798,,
2013-02-10,Approve,46.2047,,
2013-02-21,Approve,46.1438,,
2013-02-28,Approve,46.0994,,
2013-03-10,Approve,46.0405,,
2013-03-21,Approve,45.9924,,
2013-04-09,Approve,45.7718,,
2013-05-20,Approve,45.1007,,
2013-06-14,Approve,44.7003,,
2013-07-14,Approve,44.2394,,
2013-08-11,Approve,43.8394,,
2013-09-09,Approve,43.4382,,
2013-09-12,Approve,43.3984,,
2013-09-16,Approve,43.3437,,
2013-09-26,Approve,43.2132,,
2013-11-11,Approve,42.6981,,
2013-11-18,Approve,42.619,,
2013-12-08,Approve,42.3574,,
2014-01-12,Approve,41.9481,,
2014-01-21,Approve,41.8846,,
2014-01-23,Approve,41.8722,,
2014-01-30,Approve,41.8429,,
2014-02-09,Approve,41.8752,,
2014-02-20,Approve,41.8824,,
2014-02-26,Approve,41.9061,,
2014-03-09,Approve,41.9477,,
2014-03-19,Approve,41.9975,,
2014-04-03,Approve,42.0777,,
2014-04-06,Approve,42.0965,,
